name,Rank,source_rank,position,source_position,team,source_player_id,games_played,targets,receptions,receiving_yards,receiving_yards_per_game,receiving_average,receiving_touchdowns,fumbles_lost,projected_fantasy_points,projected_fantasy_points_per_game,season
Adam Trautman,52,52,TE,TE,DEN,2182228,17,36,27,282,16.6,10.4,2,0,31,1.8,2026
Cole Kmet,53,53,TE,TE,CHI,2868619,17,32,22,229,13.5,10.4,2,0,27,1.6,2026
Eli Raridon,54,54,TE,TE,NE,28924611,17,32,22,240,14.1,10.9,2,1,26,1.5,2026
Nate Boerkircher,55,55,TE,TE,JAC,3162867,17,32,22,240,14.1,10.9,2,1,26,1.5,2026
Jeremy Ruckert,56,56,TE,TE,NYJ,2965446,17,36,27,196,11.5,7.3,2,0,24,1.4,2026
Tommy Tremble,57,57,TE,TE,CAR,2969027,17,30,23,202,11.9,8.8,2,0,24,1.4,2026
Connor Heyward,58,58,TE,FB,LV,2867599,17,19,14,102,6,7.3,2,0,23,1.4,2026
Austin Hooper,59,60,TE,TE,ATL,2067004,17,31,23,250,14.7,10.9,1,0,22,1.3,2026
John Bates,60,61,TE,TE,WAS,2257291,17,31,20,203,11.9,10.2,2,1,22,1.3,2026
Nate Adkins,61,59,TE,TE,DEN,2977285,17,23,16,108,6.4,6.8,3,0,22,1.3,2026
Elijah Higgins,62,62,TE,TE,ARI,3122914,17,28,23,221,13,9.6,1,1,19,1.1,2026
Charlie Woerner,63,63,TE,TE,ATL,2248629,17,29,23,196,11.5,8.5,1,0,18,1.1,2026
Mitchell Evans,64,65,TE,TE,CAR,26693662,17,22,16,143,8.4,8.9,2,0,18,1.1,2026
Ja'Tavion Sanders,65,64,TE,TE,CAR,26731381,17,31,25,192,11.3,7.7,1,0,18,1.1,2026
Foster Moreau,66,67,TE,TE,HOU,2180634,17,15,11,132,7.8,12,2,0,17,1,2026
Jackson Hawes,67,66,TE,TE,BUF,3135324,17,12,10,120,7.1,12,2,0,17,1,2026
Ben Sinnott,68,68,TE,TE,WAS,3168647,17,13,11,122,7.2,11.1,2,0,17,1,2026
Grant Calcaterra,69,69,TE,TE,PHI,2804129,13,23,17,175,13.5,10.3,1,0,15,1.2,2026
Luke Musgrave,70,70,TE,TE,GB,3129283,12,24,18,178,14.8,9.9,1,0,14,1.2,2026
Noah Gray,71,71,TE,TE,KC,2866903,17,23,15,138,8.1,9.2,1,0,12,0.7,2026
Cade Stover,72,72,TE,TE,HOU,3125978,17,21,15,123,7.2,8.2,1,0,12,0.7,2026
Jack Endries,73,74,TE,TE,CIN,28916552,17,16,13,123,7.2,9.5,1,0,11,0.6,2026
Max Klare,74,73,TE,TE,LAR,28921209,17,15,11,127,7.5,11.6,1,0,11,0.6,2026
Luke Schoonmaker,75,75,TE,TE,DAL,2968473,17,23,15,133,7.8,8.9,1,0,11,0.6,2026
Drew Sample,76,86,TE,TE,CIN,2139646,17,16,13,100,5.9,7.7,1,0,10,0.6,2026
Chris Manhertz,77,82,TE,TE,NYG,2167520,17,12,9,85,5,9.4,1,0,10,0.6,2026
Ian Thomas,78,90,TE,TE,LV,2253359,17,10,10,87,5.1,8.7,1,0,10,0.6,2026
Seydou Traore,79,88,TE,TE,MIA,26696643,17,12,9,88,5.2,9.8,1,0,10,0.6,2026
Thomas Fidone II,80,85,TE,TE,NYG,26699695,17,13,10,101,5.9,10.1,1,0,10,0.6,2026
Elijah Arroyo,81,94,TE,TE,SEA,26700496,17,18,10,116,6.8,11.6,1,0,10,0.6,2026
Josh Cuevas,82,80,TE,TE,BAL,26706410,17,11,8,97,5.7,12.1,1,0,10,0.6,2026
Bauer Sharp,83,79,TE,TE,TB,26730919,17,14,11,113,6.6,10.3,1,0,10,0.6,2026
Hunter Long,84,77,TE,TE,JAC,2867428,17,16,12,88,5.2,7.3,1,0,10,0.6,2026
Jake Tonges,85,95,TE,TE,SF,2870660,17,16,12,102,6,8.5,1,0,10,0.6,2026
Oscar Delp,86,92,TE,TE,NO,28873644,17,15,11,115,6.8,10.5,1,0,10,0.6,2026
Tanner Koziol,87,78,TE,TE,JAC,28874303,17,13,10,111,6.5,11.1,1,0,10,0.6,2026
Sam Roush,88,76,TE,TE,CHI,28877184,17,13,10,111,6.5,11.1,1,0,10,0.6,2026
Justin Joly,89,91,TE,TE,DEN,28927892,17,12,9,88,5.2,9.8,1,0,10,0.6,2026
Dallen Bentley,90,89,TE,TE,DEN,29164633,17,15,12,104,6.1,8.7,1,0,10,0.6,2026
Brevyn Spann-Ford,91,81,TE,TE,DAL,2961760,17,16,11,106,6.2,9.6,1,0,10,0.6,2026
Josh Whyle,92,84,TE,TE,GB,2962513,17,12,10,86,5.1,8.6,1,0,10,0.6,2026
Payne Durham,93,87,TE,TE,TB,2968469,17,15,8,91,5.4,11.4,1,0,10,0.6,2026
Jared Wiley,94,83,TE,TE,KC,3123819,17,14,11,96,5.6,8.7,1,0,10,0.6,2026
Matthew Hibner,95,93,TE,TE,BAL,3169490,17,11,8,97,5.7,12.1,1,0,10,0.6,2026
Durham Smythe,96,98,TE,TE,BAL,2082845,17,13,8,79,4.6,9.9,1,0,9,0.5,2026
K. Kieft,97,99,TE,TE,TB,2239763,17,10,8,81,4.8,10.1,1,0,9,0.5,2026
Kylen Granson,98,96,TE,TE,TEN,2247146,17,17,10,83,4.9,8.3,1,0,9,0.5,2026
Andrew Ogletree,99,97,TE,TE,IND,26725942,17,13,8,75,4.4,9.4,1,0,9,0.5,2026
Will Mallory,100,100,TE,TE,IND,2962073,13,10,8,97,7.5,12.1,1,0,8,0.6,2026
